year;team;standing
2015;Arsenal;3
2016;Arsenal;2
2017;Arsenal;5
2018;Arsenal;6
2019;Arsenal;5
2020;Arsenal;8
2021;Arsenal;8
2015;Aston Villa;17
2016;Aston Villa;20
2017;Aston Villa;Champions league
2018;Aston Villa;Champions league
2019;Aston Villa;Champions league
2020;Aston Villa;17
2021;Aston Villa;11
2015;Bournemouth;Champions league
2016;Bournemouth;16
2017;Bournemouth;9
2018;Bournemouth;12
2018;Bournemouth;Champions league
2019;Bournemouth;14
2020;Bournemouth;18
2021;Bournemouth;Champions league
2015;Brighton;Champions league
2016;Brighton;Champions league
2017;Brighton;Champions league
2018;Brighton;15
2019;Brighton;17
2020;Brighton;15
2021;Brighton;16
2015;Burnley;19
2016;Burnley;Champions league
2017;Burnley;16
2018;Burnley;7
2019;Burnley;15
2020;Burnley;10
2021;Burnley;17
2017;Cardiff City;Champions league
2018;Cardiff City;Champions league
2019;Cardiff City;18
2015;Chelsea;1
2016;Chelsea;10
2017;Chelsea;1
2018;Chelsea;5
2019;Chelsea;3
2020;Chelsea;4
2021;Chelsea;4
2015;Crystal Palace;10
2016;Crystal Palace;15
2017;Crystal Palace;14
2018;Crystal Palace;11
2019;Crystal Palace;12
2020;Crystal Palace;14
2021;Crystal Palace;14
2015;Everton;11
2016;Everton;11
2017;Everton;7
2018;Everton;8
2019;Everton;8
2020;Everton;12
2021;Everton;10
2015;Fulham;Champions league
2016;Fulham;Champions league
2018;Fulham;Champions league
2019;Fulham;19
2020;Fulham;Champions league
2021;Fulham;18
2015;Huddersfield;Champions league
2016;Huddersfield;Champions league
2017;Huddersfield;Champions league
2018;Huddersfield;16
2019;Huddersfield;20
2020;Huddersfield;Champions league
2021;Huddersfield;Champions league
2015;Hull City;18
2016;Hull City;Champions league
2017;Hull City;18
2018;Hull City;Champions league
2019;Hull City;Champions league
2020;Hull City;Champions league
2021;Hull City;Champions league
2015;Leeds United;Champions league
2016;Leeds United;Champions league
2017;Leeds United;Champions league
2018;Leeds United;Champions league
2019;Leeds United;Champions league
2020;Leeds United;Champions league
2021;Leeds United;9
2015;Leicester City;14
2016;Leicester City;1
2017;Leicester City;12
2018;Leicester City;9
2018;Leicester City;Champions league
2019;Leicester City;9
2020;Leicester City;5
2021;Leicester City;5
2015;Liverpool;6
2016;Liverpool;8
2017;Liverpool;4
2018;Liverpool;4
2019;Liverpool;2
2020;Liverpool;1
2021;Liverpool;3
2015;Man City;2
2016;Man City;4
2017;Man City;3
2018;Man City;1
2019;Man City;1
2020;Man City;2
2021;Man City;1
2015;Man United;4
2016;Man United;5
2017;Man United;6
2018;Man United;2
2019;Man United;6
2020;Man United;3
2021;Man United;2
2017;Middlesbrough;19
2015;Newcastle;15
2016;Newcastle;18
2018;Newcastle;10
2019;Newcastle;13
2020;Newcastle;13
2021;Newcastle;12
2015;Norwich City;Champions league
2016;Norwich City;19
2017;Norwich City;Champions league
2018;Norwich City;Champions league
2019;Norwich City;Champions league
2020;Norwich City;20
2021;Norwich City;Champions league
2015;Sheffiel United;Champions league
2016;Sheffiel United;Champions league
2017;Sheffiel United;Champions league
2018;Sheffiel United;Champions league
2019;Sheffiel United;Champions league
2020;Sheffiel United;9
2021;Sheffiel United;20
2015;Southampton;7
2016;Southampton;6
2017;Southampton;8
2018;Southampton;17
2019;Southampton;16
2020;Southampton;11
2021;Southampton;15
2015;Stoke City;9
2016;Stoke City;9
2017;Stoke City;13
2018;Stoke City;19
2018;Stoke City;Champions league
2019;Stoke City;Champions league
2020;Stoke City;Champions league
2021;Stoke City;Champions league
2015;Sunderland;16
2016;Sunderland;17
2017;Sunderland;20
2018;Sunderland;Champions league
2019;Sunderland;Champions league
2020;Sunderland;Champions league
2021;Sunderland;Champions league
2015;Swansea;8
2016;Swansea;12
2017;Swansea;15
2018;Swansea;18
2016;Tottenham;3
2016;Tottenham;5
2017;Tottenham;2
2018;Tottenham;3
2019;Tottenham;4
2020;Tottenham;6
2021;Tottenham;7
2016;Watford;13
2017;Watford;17
2018;Watford;14
2019;Watford;11
2020;Watford;19
2021;Watford;Champions league
2015;West Brom;13
2016;West Brom;14
2017;West Brom;10
2018;West Brom;20
2019;West Brom;Champions league
2020;West Brom;Champions league
2021;West Brom;19
2015;West Ham;12
2016;West Ham;7
2017;West Ham;11
2018;West Ham;13
2019;West Ham;10
2020;West Ham;16
2021;West Ham;6
2015;Wolves;Champions league
2016;Wolves;Champions league
2017;Wolves;Champions league
2018;Wolves;Champions league
2019;Wolves;7
2020;Wolves;7
2021;Wolves;13
